Make,AveHWY,AveCity
Acura,31.5,23
Alfa Romeo,28.5,20.5
Aston Martin,19,12
Audi,27.4,19.4
BMW,38.22222222,35.55555556
Bentley,21,12.5
Buick,28,20.33333333
Cadillac,25.83333333,18
Chevrolet,38.85714286,34.85714286
Chrysler,30,19.66666667
Dodge,23.6,15.6
Ferrari,19,14
Fiat,55.66666667,56.33333333
Ford,34.5,30.875
GMC,25,18.25
Genesis,24.66666667,16.33333333
Honda,34.33333333,26
Hyundai,60.33333333,65
Infiniti,26.5,20.5
Jaguar,29.5,21
Jeep,24.66666667,18
Kia,43.25,45
Lamborghini,19,12
Land Rover,24.25,18.25
Lexus,28.8,23.6
Lincoln,26.5,19.5
Lotus,24,17
MINI,33,24
Maserati,22,15
Mazda,34.5,26.5
McLaren Automotive,23,16
Mercedes-Benz,35.8,31.2
Mitsubishi,50.5,50
Nissan,39.33333333,37.66666667
Porsche,24.66666667,18
Ram,24.33333333,17.33333333
Rolls-Royce,19,12
Roush Performance,23,14
Subaru,29.33333333,22
Tesla,98,92
Toyota,27,22
Volkswagen,28.66666667,21
Volvo,30.5,22.5
smart,39,32
