Make,AveHWY,AveCity
Acura,31.5,23
Alfa Romeo,28.5,20.5
Aston Martin,19,12
Audi,27.4,19.4
BMW,39,37
Bentley,19,11.7
Buick,28,20.33
Cadillac,25.83,18
Chevrolet,39.8,38.2
Chrysler,30,19.67
Dodge,23.6,15.6
Ferrari,13,11.8
Fiat,32.5,31.8
Ford,34.5,30.88
GMC,25,18.25
Genesis,24.67,16.33
Honda,34.33,26
Hyundai,33,31
Infiniti,26.5,20.5
Jaguar,29.5,21
Jeep,24.67,18
Kia,31,29
Lamborghini,19,12
Land Rover,24.25,18.25
Lexus,28.8,23.6
Lincoln,26.5,19.5
Lotus,24,17
MINI,33,24
Maserati,22,15
Mazda,34.5,26.5
McLaren Automotive,23,16
Mercedes-Benz,35.8,31.2
Mitsubishi,30.5,28
Nissan,35,32.8
Porsche,24.67,18
Ram,24.33,17.33
Rolls-Royce,19,12
Roush Performance,23,14
Subaru,29.33,22
Toyota,27,22
Volkswagen,28.67,21
Volvo,30.5,22.5
